City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Mbandaka,CD,2022-12-08 23:09:58,0.0487,18.2603,68.54,96,99,0.94
244,Oberwart,AT,2022-12-08 23:09:58,47.2897,16.206,35.89,86,99,4.92
245,Pedregal,PA,2022-12-08 23:09:59,8.3667,-82.4333,82.49,69,40,4.61
246,Wajir,KE,2022-12-08 23:09:59,1.7471,40.0573,76.6,73,56,7.87
247,Kirensk,RU,2022-12-08 23:09:59,57.7853,108.1119,8.92,94,100,12.19
248,Urumqi,CN,2022-12-08 23:10:00,43.801,87.6005,0.55,85,75,4.47
249,Port Augusta,AU,2022-12-08 23:10:00,-32.5,137.7667,72.03,29,95,8.25
250,Camacupa,AO,2022-12-08 23:10:01,-12.0167,17.4833,60.96,98,100,3.76
251,Salalah,OM,2022-12-08 23:10:01,17.0151,54.0924,77.09,47,0,10.36
252,Prosotsani,GR,2022-12-08 23:10:01,41.1833,23.9667,55.49,91,74,2.06
253,General Roca,AR,2022-12-08 23:10:03,-39.0333,-67.5833,87.62,33,0,32.64
254,Marzuq,YE,2022-12-08 23:10:06,14.4,46.4667,61.09,31,37,2.8
255,Pervomayskoye,RU,2022-12-08 23:10:07,43.919,46.7102,40.68,68,77,17.11
256,Puerto Leguizamo,CO,2022-12-08 23:10:08,-0.1934,-74.7819,76.91,72,98,2.53
257,Lompoc,US,2022-12-08 23:10:09,34.6391,-120.4579,59.14,74,0,5.75
258,Yar-Sale,RU,2022-12-08 23:10:09,66.8333,70.8333,-22.16,94,80,14.2
259,Shingu,JP,2022-12-08 23:10:10,33.7333,135.9833,46.65,66,5,4.52
260,Porto Velho,BR,2022-12-08 23:10:12,-8.7619,-63.9039,75.25,94,40,1.14
261,Grindavik,IS,2022-12-08 23:10:12,63.8424,-22.4338,30.67,64,40,28.77
262,Hadejia,NG,2022-12-08 23:10:13,12.4498,10.0444,68.72,19,2,9.8
263,Zonguldak,TR,2022-12-08 23:10:13,41.25,31.8333,43.97,66,74,5.68
264,Matagami,CA,2022-12-08 23:10:14,49.7502,-77.6328,-4.29,100,8,3.74
265,Nikolskoye,RU,2022-12-08 23:10:15,59.7035,30.7861,30.09,91,99,9.91
266,Bandundu,CD,2022-12-08 23:10:15,-3.3167,17.3667,68.83,94,100,2.59
267,Olinda,BR,2022-12-08 23:09:56,-8.0089,-34.8553,80.33,74,0,5.75
268,Xichang,CN,2022-12-08 23:10:16,27.8964,102.2634,41.5,82,0,1.5
269,Pirovskoye,RU,2022-12-08 23:10:18,57.6267,92.2658,5.5,87,100,13.96
270,Arraial Do Cabo,BR,2022-12-08 23:09:25,-22.9661,-42.0278,73.0,86,1,4.05
271,Peleduy,RU,2022-12-08 23:10:19,59.6289,112.7406,7.5,94,100,11.63
272,Yerbogachen,RU,2022-12-08 23:10:20,61.2767,108.0108,7.81,95,100,9.53
273,Gouyave,GD,2022-12-08 23:10:22,12.1646,-61.7296,77.77,73,20,14.97
274,Kangaatsiaq,GL,2022-12-08 23:10:23,68.3065,-53.4641,30.58,74,100,5.79
275,Cherskiy,RU,2022-12-08 23:10:25,68.75,161.3,-13.23,84,59,3.13
276,Inhambane,MZ,2022-12-08 23:11:26,-23.865,35.3833,76.19,84,7,7.83
277,Cururupu,BR,2022-12-08 23:11:26,-1.8283,-44.8683,76.17,89,96,3.29
278,Makakilo City,US,2022-12-08 23:11:27,21.3469,-158.0858,82.72,57,20,25.32
279,Chatellerault,FR,2022-12-08 23:11:27,46.8,0.5333,33.57,1,100,10.71
280,Camopi,GF,2022-12-08 23:11:28,3.1655,-52.3158,77.92,74,100,4.05
281,Mayumba,GA,2022-12-08 23:11:28,-3.432,10.6554,74.62,88,87,4.61
282,Biltine,TD,2022-12-08 23:11:29,14.5333,20.9167,68.4,16,41,10.8
283,Gamba,GA,2022-12-08 23:11:29,-2.65,10.0,74.86,86,57,4.36
284,Zherdevka,RU,2022-12-08 23:11:29,51.8486,41.4606,23.41,95,100,15.73
285,Severomuysk,RU,2022-12-08 23:11:30,56.1481,113.4267,-15.18,98,89,4.97
286,Coihaique,CL,2022-12-08 23:11:30,-45.5752,-72.0662,51.75,76,75,6.91
287,Bonavista,CA,2022-12-08 23:11:31,48.6499,-53.1147,37.62,86,7,9.26
288,San Cristobal,VE,2022-12-08 23:11:31,7.7669,-72.225,69.98,88,73,2.66
289,Gorontalo,ID,2022-12-08 23:11:31,0.5412,123.0595,77.56,83,99,1.5
290,Rio Gallegos,AR,2022-12-08 23:11:32,-51.6226,-69.2181,55.45,67,75,8.05
291,Atambua,ID,2022-12-08 23:11:32,-9.1061,124.8925,77.02,74,94,3.4
